"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-19,239,yandex,cpc,freemium,17212,4,2,290597
2023-06-15,164,yandex,cpc,prof-frontend,69171,7,1,237990
2023-06-20,242,yandex,cpc,freemium,16145,7,3,221098
2023-06-30,37,yandex,cpc,base-frontend,8231,1,1,201150
2023-06-23,255,yandex,cpc,freemium,18235,3,2,191397
2023-06-20,15,vk,cpc,freemium-frontend,2851,3,1,189210
2023-06-14,165,yandex,cpc,prof-frontend,70624,8,1,180306
2023-06-15,6,vk,cpc,prof-java,4264,2,1,178800
2023-06-26,57,yandex,cpc,base-python,7940,1,1,160920
2023-06-26,10,telegram,cpp,base-java,0,1,1,151192
2023-06-26,187,yandex,cpc,prof-python,41547,3,2,138784
2023-06-25,110,admitad,cpa,admitad,0,1,1,134100
2023-06-28,16,vk,cpc,prof-python,4318,4,1,126000
2023-06-16,168,yandex,cpc,prof-python,39215,4,1,125995
2023-06-22,251,yandex,cpc,freemium,14680,2,1,119240
