"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
c4a47e135a9d9dce9b5ee16318d18a17da072c7e,2023-06-01 00:13:36.964,zen,social,prof-backend,,,,,
"31c4137d600f09afe01aaf4311ca0fd139616936",2023-06-01 00:26:09.535,twitter,social,promo,,,,,
a267d2aa346428c883918a8d52cbc4f27a6a90b9,2023-06-01 00:27:01.947,vk,cpm,prof-data-analytics,,,,,
"2bf1e8231b2e558765c372912ec246aaf37a0f82",2023-06-01 00:44:27.943,vk,cpc,prof-python,,,,,
"206faf6f2afb23aea2a8cc5b5f820c57fede4563",2023-06-01 00:54:47.387,zen,social,hexlet-blog,,,,,
"54046b91498cd42904dd969c44d16ada4a5c4552",2023-06-01 01:59:08.543,telegram,cpp,base-python,,,,,
"1a47f7f4a168e067e77fa8229d995dbce0bea76b",2023-06-01 02:16:59.321,vk-senler,cpc,freemium,,,,,
f6d55319af80d5d9473787e370a721ef2a3511a0,2023-06-01 02:28:30.567,telegram,cpp,base-java,,,,,
"0dcfc900dc70c107c8b94eae4c100631a28e2e45",2023-06-01 02:29:05.857,zen,social,prof-backend,,,,,
d14e316eaa62a5a022693ff099d0e5e8c5768984,2023-06-01 02:30:15.268,zen,social,prof-frontend,,,,,
